 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),      Illu%,  ObsSub-LON, ObsSub-LAT,  SunSub-LON, SunSub-LAT,    NP.ang,  NP.dist,     S-T-O,
***********************************************************************************************************************************************
$$SOE
 2052-Jan-02 02:00, , , 18 42 21.93, -18 07 08.0,    0.18909,  355.486248,  -6.480069,  176.037150,   1.525945,  355.7445, -906.309,  175.0149,
 2052-Jan-02 03:00, , , 18 44 34.72, -18 04 20.0,    0.18750,  355.468529,  -6.489036,  175.529292,   1.525907,  355.5134, -906.622,  175.0365,
 2052-Jan-02 04:00, , , 18 46 47.55, -18 01 26.3,    0.18951,  355.451214,  -6.497449,  175.021434,   1.525868,  355.2826, -906.935,  175.0105,
 2052-Jan-02 05:00, , , 18 49 00.39, -17 58 26.9,    0.19512,  355.434303,  -6.505303,  174.513576,   1.525827,  355.0521, -907.251,  174.9376,
 2052-Jan-02 06:00, , , 18 51 13.26, -17 55 21.6,    0.20434,  355.417795,  -6.512599,  174.005719,   1.525784,  354.8220, -907.567,  174.8198,
 2052-Jan-02 07:00, , , 18 53 26.14, -17 52 10.6,    0.21719,  355.401687,  -6.519333,  173.497862,   1.525741,  354.5923, -907.885,  174.6597,
 2052-Jan-02 08:00, , , 18 55 39.04, -17 48 53.9,    0.23366,  355.385980,  -6.525504,  172.990006,   1.525695,  354.3629, -908.205,  174.4611,
 2052-Jan-02 09:00, , , 18 57 51.95, -17 45 31.5,    0.25377,  355.370670,  -6.531110,  172.482151,   1.525649,  354.1340, -908.526,  174.2278,
 2052-Jan-02 10:00, , , 19 00 04.88, -17 42 03.3,    0.27752,  355.355758,  -6.536150,  171.974296,   1.525601,  353.9056, -908.848,  173.9637,
 2052-Jan-02 11:00, , , 19 02 17.81, -17 38 29.5,    0.30492,  355.341241,  -6.540622,  171.466443,   1.525552,  353.6776, -909.171,  173.6726,
 2052-Jan-02 12:00, , , 19 04 30.75, -17 34 49.9,    0.33598,  355.327117,  -6.544523,  170.958590,   1.525501,  353.4500, -909.496,  173.3579,
 2052-Jan-02 13:00, , , 19 06 43.70, -17 31 04.7,    0.37070,  355.313386,  -6.547854,  170.450739,   1.525449,  353.2231, -909.822,  173.0228,
 2052-Jan-02 14:00, , , 19 08 56.64, -17 27 13.7,    0.40908,  355.300046,  -6.550611,  169.942888,   1.525396,  352.9966, -910.149,  172.6700,
 2052-Jan-02 15:00, , , 19 11 09.59, -17 23 17.2,    0.45114,  355.287095,  -6.552794,  169.435039,   1.525341,  352.7707, -910.478,  172.3018,
 2052-Jan-02 16:00, , , 19 13 22.54, -17 19 15.0,    0.49688,  355.274532,  -6.554401,  168.927192,   1.525285,  352.5454, -910.808,  171.9203,
